product_family,contract_name,chain,deployed_address,scope_tier,description,likely_proxy_type,source_availability,implementation_address,current_implementation_bytecode_hash,priority_score,priority_bucket,audit_status
Account Policies,PolicyManager,Base,0x75b3015780776952102a8bFA6202d2e3c1F4EFc5,Tier 1,PolicyManager listed under Account Policies in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Account Policies,MorphoLendPolicy,Base,0x015Cf8dbB7F1045280B96d0afd308dFa7AcB84F0,Tier 1,MorphoLendPolicy listed under Account Policies in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Account Policies,MorphoLoanProtectionPolicy,Base,0x001B6f938eA6D0A57D02B3e9503b958149A2a7e3,Tier 1,MorphoLoanProtectionPolicy listed under Account Policies in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Account Policies,MorphoWETHLoanProtectionPolicy,Base,0xe14A101ADF9AE492Dd8e9D2ED7763460A6AE8Cd7,Tier 1,MorphoWETHLoanProtectionPolicy listed under Account Policies in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Account Policies,PublicERC6492Validator,Base,0xBde308aEFDdF0fc0bd2156348F380719620d65Cc,Tier 1,PublicERC6492Validator listed under Account Policies in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Base AppChains,DeployChain,Base,0xe8c6D9460Ce61D260260d27f30bde8b8d1a8341e,Tier 1,DeployChain listed under Base AppChains in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,15,Low priority,inventory_parsed_not_reviewed
Base AppChains,SuperchainConfig,Base,0xc5b0B126fFD9D36084af85359a07Fb798A405aDc,Tier 1,SuperchainConfig listed under Base AppChains in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,15,Low priority,inventory_parsed_not_reviewed
Basenames,OpenEdition721Mint,Base,0x75D2eA122cC20B6e661775Ac18ffF0B4547B9fe6,Tier 1,OpenEdition721Mint listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,37,Medium priority,inventory_parsed_not_reviewed
Basenames,EARegistrarController,Base,0xd3e6775Ed9B7dC12B205C8E608Dc3767B9e5eFdA,Tier 1,EARegistrarController listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,27,Low priority,inventory_parsed_not_reviewed
Basenames,L2Resolver,Base,0xC6d566A56A1aFf6508b41f6c90ff131615583BCD,Tier 1,L2Resolver listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,15,Low priority,inventory_parsed_not_reviewed
Basenames,RegistrarController,Base,0x4cCb0BB02FCABA27e82a56646E81d8c5bC4119a5,Tier 1,RegistrarController listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,27,Low priority,inventory_parsed_not_reviewed
Basenames,CB1DiscountValidator,Base,0x9de4Ab12320684cec803Edb72aA3a920250d392C,Tier 1,CB1DiscountValidator listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Basenames,BaseETHDiscountValidator,Base,0x55564490a44FDC2aEEa54B60eB1c79F124FD88b9,Tier 1,BaseETHDiscountValidator listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Basenames,CBIdDiscountValidator,Base,0x0A484e560946818787135EAD632771589523dE82,Tier 1,CBIdDiscountValidator listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Basenames,VADiscountValidator,Base,0x012076854d030128dc72B34621287Bb585210315,Tier 1,VADiscountValidator listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Basenames,BNSDiscountValidator,Base,0x20b433c640DFb8c2e3C6aBB0533314b2d7B9f2FF,Tier 1,BNSDiscountValidator listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Basenames,OCSNFTDiscountValidator,Base,0x55246A2AE466257B2fB54d4BB881Fb3f17D8e03e,Tier 1,OCSNFTDiscountValidator listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Basenames,EAExponentialPremiumPriceOracle,Base,0x46114792Cc08Baf79006f25Ec9eE23AC64e119ca,Tier 1,EAExponentialPremiumPriceOracle listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,15,Low priority,inventory_parsed_not_reviewed
Basenames,ExponentialPremiumPriceOracle,Base,0x508CFE43aa84b8048cB6d39037cE0dc96d8aDc75,Tier 1,ExponentialPremiumPriceOracle listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,15,Low priority,inventory_parsed_not_reviewed
Basenames,BaseRegistrar,Base,0x03c4738Ee98aE44591e1A4A4F3CaB6641d95DD9a,Tier 1,BaseRegistrar listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,27,Low priority,inventory_parsed_not_reviewed
Basenames,EaMerkleDiscountValidator,Base,0x6E89d99643DB1223697C77A9F8B2Cb07E898e743,Tier 1,EaMerkleDiscountValidator listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Basenames,ReverseRegistrar,Base,0x79EA96012eEa67A83431F1701B3dFf7e37F9E282,Tier 1,ReverseRegistrar listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,27,Low priority,inventory_parsed_not_reviewed
Basenames,DevfolioDiscountValidator,Base,0xB635802085b405A9C8BA7225ae866f60b63d8503,Tier 1,DevfolioDiscountValidator listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Basenames,LaunchAuctionPriceOracle,Base,0xd53B558e1F07289acedf028d226974AbBa258312,Tier 1,LaunchAuctionPriceOracle listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,15,Low priority,inventory_parsed_not_reviewed
Basenames,Registry,Base,0xB94704422c2a1E396835A571837Aa5AE53285a95,Tier 1,Registry listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,15,Low priority,inventory_parsed_not_reviewed
Basenames,L1Resolver,Ethereum,0xde9049636F4a1dfE0a64d1bFe3155C0A14C54F31,Tier 1,L1Resolver listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,15,Low priority,inventory_parsed_not_reviewed
Basenames,L1Resolver,Ethereum,0x480F8F2FfE823Dc70F499Cc2542C42a3a6aD3f20,Tier 1,L1Resolver listed under Basenames in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,15,Low priority,inventory_parsed_not_reviewed
Coinbase Attestations,EAS,Base,0x4200000000000000000000000000000000000021,Tier 1,EAS listed under Coinbase Attestations in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,15,Low priority,inventory_parsed_not_reviewed
Coinbase Attestations,SchemaRegistry,Base,0x4200000000000000000000000000000000000020,Tier 1,SchemaRegistry listed under Coinbase Attestations in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,15,Low priority,inventory_parsed_not_reviewed
Coinbase Attestations,CoinbaseIndexer,Base,0x2c7eE1E5f416dfF40054c27A62f7B357C4E8619C,Tier 1,CoinbaseIndexer listed under Coinbase Attestations in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,15,Low priority,inventory_parsed_not_reviewed
Coinbase Attestations,CoinbaseAttester,Base,0x357458739F90461b99789350868CD7CF330Dd7EE,Tier 1,CoinbaseAttester listed under Coinbase Attestations in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,15,Low priority,inventory_parsed_not_reviewed
Coinbase Attestations,CoinbaseResolver,Base,0xD867CbEd445c37b0F95Cc956fe6B539BdEf7F32f,Tier 1,CoinbaseResolver listed under Coinbase Attestations in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,15,Low priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,CoinbaseSmartWalletValidator,Ethereum,0x79A33f950b90C7d07E66950daedf868BD0cDcF96,Tier 1,CoinbaseSmartWalletValidator listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,CoinbaseSmartWalletValidator,Optimism,0x79A33f950b90C7d07E66950daedf868BD0cDcF96,Tier 1,CoinbaseSmartWalletValidator listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,CoinbaseSmartWalletValidator,Arbitrum,0x79A33f950b90C7d07E66950daedf868BD0cDcF96,Tier 1,CoinbaseSmartWalletValidator listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,CoinbaseSmartWalletValidator,Base,0x79A33f950b90C7d07E66950daedf868BD0cDcF96,Tier 1,CoinbaseSmartWalletValidator listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,DefaultReceiver,Ethereum,0x2a8010A9D71D2a5AEA19D040F8b4797789A194a9,Tier 1,DefaultReceiver listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,DefaultReceiver,Base,0x2a8010A9D71D2a5AEA19D040F8b4797789A194a9,Tier 1,DefaultReceiver listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,DefaultReceiver,Arbitrum,0x2a8010A9D71D2a5AEA19D040F8b4797789A194a9,Tier 1,DefaultReceiver listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,DefaultReceiver,Optimism,0x2a8010A9D71D2a5AEA19D040F8b4797789A194a9,Tier 1,DefaultReceiver listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,MagicSpend,Base,0x736b661a643B57F11d131CB3Ae6129C22ea02843,Tier 1,MagicSpend listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,MagicSpend,Base,0xe1D39a19Af4319eBA972fd70A5280CA0aE7cA0AC,Tier 1,MagicSpend listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,MagicSpend,Base,0xF7F64baDcbf64A1DbcAE29C223BE1387F8a301A0,Tier 1,MagicSpend listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,MagicSpend,Base,0x485B2544745786FA2dD95B8C239f6CB3a63D198d,Tier 1,MagicSpend listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,MagicSpend,Base,0xa5b50A9ed69811aFA07151b3B98b8F6B58C5c28A,Tier 1,MagicSpend listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,MagicSpend,Base,0x325A4Af669032B6b1296C3084f8070D04F9AD581,Tier 1,MagicSpend listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,MagicSpend,Base,0xd27D5277215754dc84C8e0736D8fef2Ed39d92F3,Tier 1,MagicSpend listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,MagicSpend,Base,0x53899E2B6C6202C5Eb4F229DA1294F17A0C3876e,Tier 1,MagicSpend listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,MagicSpend,Base,0x7d334106dAa009Ef62CBd34C1624Bee2277bA735,Tier 1,MagicSpend listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,MagicSpend,Base,0xfb1A43620c648A43eEE7bc112db5F2498e619DC5,Tier 1,MagicSpend listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,MagicSpend,Base,0x1d3F02EF7D6881C5018863d740c026639aC7fa41,Tier 1,MagicSpend listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,MagicSpend,Base,0xbd25CE451C24554f53D984b8C64B7A0aBC5FDbB5,Tier 1,MagicSpend listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,MagicSpend,Base,0x5c77CF220dFA3dBBB052D9b4934E61d69cb393a5,Tier 1,MagicSpend listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,TokenFactory,Base,0x0000C479718a45e3D80b9A71C17b2E954CfA1515,Tier 1,TokenFactory listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,77,Critical priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,SmartWalletFactory,Base,0x0BA5ED0c6AA8c49038F819E587E2633c4A9F428a,Tier 1,SmartWalletFactory listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,77,Critical priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,VerifyingPaymaster V7,Base,0x2FAEB0760D4230Ef2aC21496Bb4F0b47D634FD4c,Tier 1,VerifyingPaymaster V7 listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Smart Wallet Infrastructure,VerifyingPaymaster V6,Base,0xa270ef92c1E11f1C1f95753C2E56801e8125fA83,Tier 1,VerifyingPaymaster V6 listed under Coinbase Smart Wallet Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Coinbase Validator Staking Infrastructure,BatchDeposit,Ethereum,0x8eBda19DdEE719DAB78DEf3e22c3d37970e35217,Tier 1,BatchDeposit listed under Coinbase Validator Staking Infrastructure in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,43,Medium priority,inventory_parsed_not_reviewed
Commerce Payments,AuthCaptureEscrow,Base,0xBdEA0D1bcC5966192B070Fdf62aB4EF5b4420cff,Tier 1,AuthCaptureEscrow listed under Commerce Payments in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,39,Medium priority,inventory_parsed_not_reviewed
Commerce Payments,ERC3009PaymentCollector,Base,0x0E3dF9510de65469C4518D7843919c0b8C7A7757,Tier 1,ERC3009PaymentCollector listed under Commerce Payments in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,39,Medium priority,inventory_parsed_not_reviewed
Commerce Payments,Permit2PaymentCollector,Base,0x992476B9Ee81d52a5BdA0622C333938D0Af0aB26,Tier 1,Permit2PaymentCollector listed under Commerce Payments in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,39,Medium priority,inventory_parsed_not_reviewed
Commerce Payments,PreApprovalPaymentCollector,Base,0x1b77ABd71FCD21fbe2398AE821Aa27D1E6B94bC6,Tier 1,PreApprovalPaymentCollector listed under Commerce Payments in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,39,Medium priority,inventory_parsed_not_reviewed
Commerce Payments,SpendPermissionPaymentCollector,Base,0x8d9F34934dc9619e5DC3Df27D0A40b4A744E7eAa,Tier 1,SpendPermissionPaymentCollector listed under Commerce Payments in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,67,Critical priority,inventory_parsed_not_reviewed
Commerce Payments,OperatorRefundCollector,Base,0x934907bffd0901b6A21e398B9C53A4A38F02fa5d,Tier 1,OperatorRefundCollector listed under Commerce Payments in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,39,Medium priority,inventory_parsed_not_reviewed
DEX Aggregator,ZeroExProxy,Ethereum,0x564d6e3A879c007183fAd17beD9A70630F090651,Tier 1,ZeroExProxy listed under DEX Aggregator in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,27,Low priority,inventory_parsed_not_reviewed
DEX Aggregator,ZeroExProxy,Base,0x29ef818a2A9d182Fa9A9D27d61881a239fa03E4B,Tier 1,ZeroExProxy listed under DEX Aggregator in Coinbase Cantina Tier 1 scope.,unknown_pending_bytecode_review,pending_explorer_or_official_repo_check,,,27,Low priority,inventory_parsed_not_reviewed
